tourney_id,tourney_name,surface,tourney_date,match_num,winner_name,winner_hand,winner_ioc,winner_age,winner_rank,winner_rank_points,loser_name,loser_hand,loser_age,loser_rank,loser_rank_points,score,round,minutes,age_count
2017-M020,Brisbane,Hard,20170102,300,Grigor Dimitrov,R,BUL,26,17,2035,Kei Nishikori,R,27.01163587,5,4905,6-2 2-6 6-3,F,108,24
2017-M020,Brisbane,Hard,20170102,299,Grigor Dimitrov,R,BUL,26,17,2035,Milos Raonic,R,26.01779603,3,5450,7-6(7) 6-2,SF,87,89
2017-M020,Brisbane,Hard,20170102,298,Kei Nishikori,R,JPN,27,5,4905,Stanislas Wawrinka,R,31.76728268,4,5315,7-6(3) 6-3,SF,101,149
2017-M020,Brisbane,Hard,20170102,297,Milos Raonic,R,CAN,26,3,5450,Rafael Nadal,L,30.58453114,9,3300,4-6 6-3 6-4,QF,140,116
2017-M020,Brisbane,Hard,20170102,296,Grigor Dimitrov,R,BUL,26,17,2035,Dominic Thiem,R,23.33196441,8,3415,6-3 4-6 6-3,QF,124,12
2017-M020,Brisbane,Hard,20170102,295,Kei Nishikori,R,JPN,27,5,4905,Jordan Thompson,R,22.70499658,79,689,6-1 6-1,QF,61,
2017-M020,Brisbane,Hard,20170102,294,Stanislas Wawrinka,R,SUI,32,4,5315,Kyle Edmund,R,21.98494182,45,1001,6-7(2) 6-4 6-4,QF,156,
2017-M020,Brisbane,Hard,20170102,293,Milos Raonic,R,CAN,26,3,5450,Diego Sebastian Schwartzman,R,24.38056126,52,864,6-3 6-2,R16,69,
2017-M020,Brisbane,Hard,20170102,292,Rafael Nadal,L,ESP,31,9,3300,Mischa Zverev,L,29.36618754,51,874,6-1 6-1,R16,55,
2017-M020,Brisbane,Hard,20170102,291,Dominic Thiem,R,AUT,23,8,3415,Samuel Groth,R,29.2073922,180,320,7-6(5) 6-3,R16,89,
2017-M020,Brisbane,Hard,20170102,290,Grigor Dimitrov,R,BUL,26,17,2035,Nicolas Mahut,R,34.9486653,39,1102,6-2 6-4,R16,65,
2017-M020,Brisbane,Hard,20170102,289,Jordan Thompson,R,AUS,23,79,689,David Ferrer,R,34.75427789,21,1785,4-6 7-5 7-5,R16,158,
2017-M020,Brisbane,Hard,20170102,288,Kei Nishikori,R,JPN,27,5,4905,Jared Donaldson,R,20.23271732,105,570,4-6 6-4 6-3,R16,143,
2017-M020,Brisbane,Hard,20170102,287,Kyle Edmund,R,GBR,22,45,1001,Lucas Pouille,R,22.85831622,15,2156,6-3 3-1 RET,R16,59,
2017-M020,Brisbane,Hard,20170102,286,Stanislas Wawrinka,R,SUI,32,4,5315,Viktor Troicki,R,30.89390828,29,1385,7-6(5) 6-4,R16,89,
2017-M020,Brisbane,Hard,20170102,284,Diego Sebastian Schwartzman,R,ARG,24,52,864,Sam Querrey,R,29.24024641,31,1355,6-2 6-4,R32,58,
2017-M020,Brisbane,Hard,20170102,283,Mischa Zverev,L,GER,29,51,874,Alex De Minaur,R,17.87542779,351,132,6-3 6-3,R32,67,
2017-M020,Brisbane,Hard,20170102,282,Rafael Nadal,L,ESP,31,9,3300,Alexandr Dolgopolov,R,28.15331964,62,760,6-3 6-3,R32,74,
2017-M020,Brisbane,Hard,20170102,280,Samuel Groth,R,AUS,29,180,320,Pierre Hugues Herbert,R,25.79603012,78,698,6-3 5-7 7-5,R32,130,
2017-M020,Brisbane,Hard,20170102,279,Nicolas Mahut,R,FRA,35,39,1102,Stephane Robert,R,36.62970568,54,854,4-6 6-3 6-4,R32,120,
2017-M020,Brisbane,Hard,20170102,278,Grigor Dimitrov,R,BUL,26,17,2035,Steve Johnson,R,27.02532512,33,1320,6-2 6-3,R32,75,
2017-M020,Brisbane,Hard,20170102,277,David Ferrer,R,ESP,35,21,1785,Bernard Tomic,R,24.19986311,26,1465,6-3 7-5,R32,83,
2017-M020,Brisbane,Hard,20170102,276,Jordan Thompson,R,AUS,23,79,689,Elias Ymer,R,20.73100616,160,372,6-3 6-2,R32,90,
2017-M020,Brisbane,Hard,20170102,275,Jared Donaldson,R,USA,20,105,570,Gilles Muller,L,33.65366188,34,1255,6-4 6-4,R32,75,
2017-M020,Brisbane,Hard,20170102,273,Lucas Pouille,R,FRA,23,15,2156,Gilles Simon,R,32.0164271,25,1585,7-6(6) 7-6(4),R32,125,
